2026-02-27 15:20:38 | id=185 | SUCCESS | OK
2026-02-27 15:20:38 | id=181 | SUCCESS | OK
2026-02-27 15:20:38 | id=178 | SUCCESS | OK
2026-02-27 15:20:38 | id=174 | SUCCESS | OK
2026-02-27 15:20:38 | id=192 | SUCCESS | OK
2026-02-27 15:20:38 | id=170 | SUCCESS | OK
2026-02-27 15:20:38 | id=200 | SUCCESS | OK
2026-02-27 15:20:38 | id=197 | SUCCESS | OK
2026-02-27 15:20:38 | id=72 | SUCCESS | OK
2026-02-27 15:20:38 | id=29 | SUCCESS | OK
2026-02-27 15:20:38 | id=189 | SUCCESS | OK
2026-02-27 15:20:38 | id=69 | SUCCESS | OK
2026-02-27 15:20:38 | id=183 | SUCCESS | OK
2026-02-27 15:20:38 | id=199 | SUCCESS | OK
2026-02-27 15:20:38 | id=182 | SUCCESS | OK
2026-02-27 15:20:38 | id=173 | SUCCESS | OK
2026-02-27 15:20:38 | id=172 | SUCCESS | OK
2026-02-27 15:20:38 | id=188 | SUCCESS | OK
2026-02-27 15:20:38 | id=187 | SUCCESS | OK
2026-02-27 15:20:38 | id=195 | SUCCESS | OK
2026-02-27 15:20:38 | id=191 | SUCCESS | OK
2026-02-27 15:20:38 | id=196 | SUCCESS | OK
2026-02-27 15:20:38 | id=186 | SUCCESS | OK
2026-02-27 15:20:38 | id=194 | SUCCESS | OK
2026-02-27 15:20:38 | id=198 | SUCCESS | OK
2026-02-27 15:20:38 | INFO | Tiempo total sin pool: 1848 ms
2026-02-27 15:20:38 | INFO | Resumen raw (200 hilos): 200 exitosas, 0 fallidas, 100.00% éxito, promedio intentos=1.00, tiempo=1849 ms
2026-02-27 15:20:38 | INFO | Simulación completada
